"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.03.2020","8.403,79","8.203,34","8.433,63","8.203,11","-","2,45%"
"27.03.2020","8.203,17","8.678,78","8.678,78","8.157,19","-","-5,49%"
"26.03.2020","8.679,31","8.415,87","8.824,63","8.409,75","-","3,13%"
"25.03.2020","8.415,87","7.838,06","8.725,41","7.765,11","-","7,38%"
"24.03.2020","7.837,23","6.929,34","7.968,97","6.929,34","-","13,15%"
"23.03.2020","6.926,18","7.487,49","7.568,60","6.817,25","-","-7,51%"
"20.03.2020","7.488,32","7.747,66","8.114,77","7.406,76","-","-3,29%"
"19.03.2020","7.743,18","7.875,68","7.966,30","7.228,43","-","-1,74%"
"18.03.2020","7.880,37","8.634,15","8.634,15","7.484,47","-","-8,78%"
"17.03.2020","8.638,53","8.212,43","8.975,55","8.159,67","-","5,22%"
"16.03.2020","8.209,97","9.461,58","9.461,58","8.180,78","-","-13,28%"
"13.03.2020","9.467,40","8.400,41","9.678,49","8.399,26","-","12,78%"
"12.03.2020","8.394,61","9.645,12","9.645,12","7.857,45","-","-12,98%"
"11.03.2020","9.647,18","10.438,36","10.438,36","9.149,20","-","-7,58%"
"10.03.2020","10.438,45","9.938,93","10.608,80","9.938,93","-","5,04%"
"09.03.2020","9.937,42","10.981,53","10.981,53","9.914,65","-","-9,52%"
"06.03.2020","10.983,15","11.209,94","11.210,00","10.775,20","-","-2,03%"
"05.03.2020","11.210,59","11.757,50","11.757,50","11.087,33","-","-4,68%"
"04.03.2020","11.760,45","11.874,35","12.043,08","11.509,66","-","-0,96%"
"03.03.2020","11.874,21","12.146,23","12.187,25","11.741,87","-","-2,24%"
"02.03.2020","12.146,22","12.047,90","12.223,80","11.920,50","-","0,81%"
"28.02.2020","12.048,72","11.774,91","12.048,72","11.550,24","-","2,32%"
"27.02.2020","11.775,13","11.875,16","12.201,49","11.710,03","-","-0,85%"
"26.02.2020","11.876,23","12.622,53","12.622,53","11.783,42","-","-5,96%"
"21.02.2020","12.629,19","12.743,44","12.743,44","12.530,83","-","-0,90%"
"20.02.2020","12.743,48","12.937,24","12.972,55","12.716,77","-","-1,50%"
"19.02.2020","12.937,24","12.737,62","12.990,84","12.706,33","-","1,57%"
"18.02.2020","12.737,59","12.745,64","12.745,64","12.560,72","-","-0,06%"
"17.02.2020","12.745,64","12.723,10","12.832,89","12.690,16","-","0,19%"
"14.02.2020","12.721,85","12.842,54","12.849,57","12.713,28","-","-0,94%"
"13.02.2020","12.842,54","13.017,31","13.017,31","12.791,03","-","-1,37%"
"12.02.2020","13.020,35","12.986,94","13.163,38","12.895,68","-","0,27%"
"11.02.2020","12.985,79","12.714,06","13.056,06","12.713,46","-","2,15%"
"10.02.2020","12.712,73","12.781,34","12.817,26","12.654,98","-","-0,54%"
"07.02.2020","12.781,34","12.817,16","12.901,00","12.717,53","-","-0,28%"
"06.02.2020","12.817,21","12.929,54","13.050,23","12.777,68","-","-0,86%"
"05.02.2020","12.928,18","12.771,21","13.063,86","12.771,21","-","1,23%"
"04.02.2020","12.770,99","12.764,90","12.939,61","12.721,49","-","0,06%"
"03.02.2020","12.763,43","12.723,30","12.867,68","12.575,06","-","0,32%"
"31.01.2020","12.722,87","12.905,12","12.905,12","12.630,03","-","-1,41%"
"30.01.2020","12.905,20","12.820,98","12.910,69","12.617,96","-","0,65%"
"29.01.2020","12.821,41","12.985,45","13.044,27","12.811,80","-","-1,26%"
"28.01.2020","12.984,95","12.829,38","13.027,47","12.829,35","-","1,21%"
"27.01.2020","12.829,86","13.139,66","13.139,66","12.803,87","-","-2,36%"
"24.01.2020","13.140,33","13.249,71","13.275,62","13.088,31","-","-0,83%"
"23.01.2020","13.249,68","12.974,05","13.299,72","12.841,47","-","2,12%"
"22.01.2020","12.974,03","12.742,45","12.974,03","12.742,45","-","1,85%"
"21.01.2020","12.738,84","13.033,24","13.033,24","12.738,84","-","-2,26%"
"20.01.2020","13.033,24","13.136,04","13.136,04","12.981,75","-","-0,78%"
"17.01.2020","13.135,70","12.921,02","13.135,70","12.921,02","-","1,68%"
"16.01.2020","12.918,84","12.839,98","12.968,06","12.831,74","-","0,61%"
"15.01.2020","12.839,96","13.023,95","13.024,53","12.775,14","-","-1,41%"
"14.01.2020","13.023,95","13.005,00","13.023,95","12.909,77","-","0,14%"
"13.01.2020","13.005,18","12.901,17","13.074,04","12.901,07","-","0,81%"
"10.01.2020","12.901,07","13.036,38","13.149,78","12.854,17","-","-1,04%"
"09.01.2020","13.036,25","13.160,87","13.232,04","12.995,47","-","-0,94%"
"08.01.2020","13.160,53","13.299,94","13.381,88","13.139,37","-","-1,05%"
"07.01.2020","13.299,94","13.374,46","13.414,57","13.244,95","-","-0,56%"
"06.01.2020","13.374,46","13.505,56","13.509,50","13.312,56","-","-0,97%"
"03.01.2020","13.505,56","13.608,93","13.646,50","13.420,80","-","-0,78%"
"02.01.2020","13.612,13","13.221,25","13.612,13","13.220,24","-","2,96%"
"30.12.2019","13.220,73","13.299,10","13.371,49","13.208,91","-","-0,59%"
"27.12.2019","13.298,99","13.440,07","13.505,07","13.223,92","-","-1,05%"
"26.12.2019","13.439,96","13.290,04","13.443,06","13.251,47","-","1,13%"
"23.12.2019","13.289,30","13.270,26","13.293,30","13.160,95","-","0,14%"
"20.12.2019","13.270,43","13.297,46","13.301,21","13.190,05","-","-0,20%"
"19.12.2019","13.297,46","13.207,58","13.297,46","13.091,33","-","0,68%"
"18.12.2019","13.207,58","12.953,94","13.207,58","12.898,22","-","1,97%"
