,Date,Close,Open,High,Low,Volume,Var%
2288,2018-04-06,3577.93,3609.51,3609.97,3539.99,0,"-0,87%"
2289,2018-04-09,3538.56,3577.98,3586.11,3530.83,0,"-1,10%"
2290,2018-04-10,3558.75,3538.54,3558.79,3523.52,0,"0,57%"
2291,2018-04-11,3587.82,3557.88,3596.06,3552.35,0,"0,82%"
2292,2018-04-12,3616.47,3589.15,3618.00,3587.88,0,"0,80%"
2293,2018-04-13,3592.90,3616.47,3616.47,3562.56,0,"-0,65%"
2294,2018-04-16,3546.92,3592.90,3613.84,3535.38,0,"-1,28%"
2295,2018-04-17,3572.88,3546.92,3578.12,3530.45,0,"0,73%"
2296,2018-04-18,3616.13,3573.49,3630.37,3573.49,0,"1,21%"
2297,2018-04-19,3627.15,3616.13,3634.06,3599.96,0,"0,30%"
2298,2018-04-20,3630.56,3626.83,3633.36,3596.02,0,"0,09%"
2299,2018-04-23,3642.38,3630.74,3660.50,3609.36,0,"0,33%"
2300,2018-04-24,3638.57,3642.40,3681.50,3630.34,0,"-0,10%"
2301,2018-04-25,3629.24,3638.22,3638.22,3603.23,0,"-0,26%"
2302,2018-04-26,3635.23,3628.78,3652.88,3628.78,0,"0,17%"
2303,2018-04-27,3629.05,3635.26,3669.47,3625.75,0,"-0,17%"
2304,2018-04-30,3611.64,3629.42,3641.81,3602.98,0,"-0,48%"
2305,2018-05-02,3534.61,3611.53,3611.53,3524.36,0,"-2,13%"
2306,2018-05-03,3484.11,3534.74,3540.14,3484.11,0,"-1,43%"
2307,2018-05-04,3487.11,3484.26,3503.10,3459.57,0,"0,09%"
2308,2018-05-07,3456.25,3487.11,3517.20,3449.30,0,"-0,88%"
2309,2018-05-08,3473.86,3456.28,3485.40,3428.19,0,"0,51%"
2310,2018-05-09,3475.72,3473.86,3486.88,3442.21,0,"0,05%"
2311,2018-05-10,3509.83,3475.98,3511.14,3475.98,0,"0,98%"
2312,2018-05-11,3464.32,3509.92,3518.39,3453.73,0,"-1,30%"
2313,2018-05-14,3423.27,3464.63,3480.27,3405.08,0,"-1,18%"
2314,2018-05-15,3384.44,3423.17,3423.17,3339.02,0,"-1,13%"
2315,2018-05-16,3441.44,3384.50,3445.18,3376.73,0,"1,68%"
2316,2018-05-17,3324.11,3441.48,3441.48,3311.11,0,"-3,41%"
2317,2018-05-18,3284.99,3323.66,3323.66,3213.26,0,"-1,18%"
2318,2018-05-21,3287.18,3285.46,3319.73,3267.47,0,"0,07%"
2319,2018-05-22,3369.05,3287.29,3381.56,3287.29,0,"2,49%"
2320,2018-05-23,3310.48,3368.80,3369.16,3309.61,0,"-1,74%"
2321,2018-05-24,3350.29,3310.36,3350.29,3270.48,0,"1,20%"
2322,2018-05-25,3301.50,3350.94,3356.93,3290.18,0,"-1,46%"
2323,2018-05-28,3179.09,3301.44,3301.44,3170.47,0,"-3,71%"
2324,2018-05-29,3169.35,3179.25,3219.07,3144.17,0,"-0,31%"
2325,2018-05-30,3222.06,3169.35,3225.45,3158.33,0,"1,66%"
2326,2018-06-01,3306.45,3222.03,3314.12,3214.11,0,"2,62%"
2327,2018-06-04,3359.79,3306.47,3361.13,3306.47,0,"1,61%"
2328,2018-06-05,3266.93,3359.54,3359.54,3260.82,0,"-2,76%"
2329,2018-06-06,3183.12,3266.69,3266.69,3168.45,0,"-2,57%"
2330,2018-06-07,3092.03,3183.66,3183.66,2946.16,0,"-2,86%"
2331,2018-06-08,3121.18,3092.71,3149.87,3046.40,0,"0,94%"
