,Unnamed: 0,Date,Close,Open,High,Low,Volume,Var%,Var
3144,3144,2017-09-27,8054.47,8136.69,8170.93,8006.75,0,"-0,91%",-0.00913915503770113
3145,3145,2017-09-28,8004.55,8058.86,8072.91,7980.85,0,"-0,62%",-0.006197800859808922
3146,3146,2017-09-29,8121.9,8005.61,8133.97,8005.48,0,"1,47%",0.014660411514341831
3147,3147,2017-10-02,8116.35,8121.9,8135.9,8051.51,0,"-0,07%",-0.0006833376246504486
3148,3148,2017-10-03,8362.82,8117.06,8362.82,8113.63,0,"3,04%",0.03036709874868393
3149,3149,2017-10-04,8314.24,8362.78,8365.09,8279.49,0,"-0,58%",-0.005809045396745205
3150,3150,2017-10-05,8362.59,8315.44,8473.81,8315.27,0,"0,58%",0.005815323907881975
3151,3151,2017-10-06,8313.41,8362.8,8363.41,8249.12,0,"-0,59%",-0.005880953278392553
3152,3152,2017-10-09,8259.37,8313.41,8313.77,8193.43,0,"-0,65%",-0.00650034099817276
3153,3153,2017-10-10,8403.34,8259.12,8414.25,8259.12,0,"1,74%",0.017431112006306648
3154,3154,2017-10-11,8390.16,8403.34,8424.73,8331.84,0,"-0,16%",-0.0015684239333495498
3155,3155,2017-10-13,8367.07,8390.45,8432.07,8324.03,0,"-0,28%",-0.002752033295109868
3156,3156,2017-10-16,8362.15,8365.01,8397.13,8317.61,0,"-0,06%",-0.0005880194366909564
3157,3157,2017-10-17,8328.18,8362.15,8362.15,8277.02,0,"-0,41%",-0.0040623522363603115
3158,3158,2017-10-18,8369.98,8326.42,8383.53,8294.64,0,"0,50%",0.005019103642553091
3159,3159,2017-10-19,8331.72,8369.98,8369.98,8233.51,0,"-0,46%",-0.004571098368614912
3160,3160,2017-10-20,8356.42,8330.26,8394.06,8329.74,0,"0,30%",0.002964573912322521
3161,3161,2017-10-23,8220.0,8359.34,8362.08,8216.12,0,"-1,63%",-0.016325172036886215
3162,3162,2017-10-24,8288.27,8222.67,8296.97,8182.93,0,"0,83%",0.008305353112518787
3163,3163,2017-10-25,8377.49,8288.31,8393.31,8235.03,0,"1,08%",0.010764610953629017
3164,3164,2017-10-26,8289.26,8377.57,8448.89,8275.57,0,"-1,05%",-0.010531794279813766
